WingAlgorithmTimestamp,servo1Angle,servo2Angle,targetAngle, velocityAngle,targetX,targetY
230957524,120,120,0.265797,-2.37121,11.0455,3.00702
231057524,120,120,0.214248,-2.38437,11.036,2.4013
231157524,120,120,0.161522,-2.44248,11.0273,1.7968
231257532,120,120,0.121472,-2.55765,11.0244,1.34578
231357524,120,120,0.0955987,-2.38544,11.0359,1.05824
231457536,120,120,0.0698745,-2.37158,11.0488,0.773291
231557528,120,120,0.0426787,-2.3674,11.4843,0.490435
231657528,120,120,0.0408015,-2.3678,12.3448,0.503965
231757528,120,120,0.0270085,-2.36874,12.7607,0.344732
231857528,120,120,0.0202984,-2.36663,12.7534,0.258909
231957528,120,120,0.0243766,-2.37154,13.1625,0.320921
232057532,120,120,0.0184445,-2.37451,13.1611,0.242777
232157532,120,120,0.0181503,-2.38958,13.1578,0.238844
232257532,120,120,0.0175565,-2.42981,13.1498,0.230888
232357532,120,120,0.00633415,-2.39588,13.1501,0.0832958
232457532,120,120,0.000537443,-2.40562,13.1488,0.00706673
232557532,120,120,-0.00500563,-2.3966,13.1504,-0.0658264
232657532,120,120,-0.0106558,-2.40763,13.1506,-0.140135
232757532,120,120,-0.0225027,-2.7152,13.1433,-0.295809
232857540,120,120,-0.0279354,-2.45637,13.1468,-0.367355
232957544,120,120,-0.0323344,-2.39189,13.5702,-0.438938
233057540,120,120,-0.0432168,-2.39832,13.5738,-0.586983
233157536,120,120,-0.042238,-2.37283,13.5878,-0.574261
233257536,120,120,-0.0473547,-2.37355,13.5919,-0.644121
233357540,120,120,-0.0622231,-2.38398,14.006,-0.872623
233457540,120,120,-0.0990781,-2.37593,14.0085,-1.39249
233557540,120,120,-0.131208,-2.36882,14.4374,-1.90526
233657548,120,120,-0.13853,-2.37111,15.2822,-2.1307
233757540,120,120,-0.148074,-2.37325,15.2889,-2.28057
233857540,120,120,-0.158351,-2.38848,15.2787,-2.43983
233957540,120,120,-0.173033,-2.38992,14.8512,-2.5957
234057540,120,120,-0.177868,-2.38387,15.2681,-2.7447
234157544,120,120,-0.249833,0.790867,11.0045,-2.80795
234257544,120,120,-0.310737,0.789458,8.83774,-2.83815
234357544,120,120,-0.41231,0.789915,6.69962,-2.93029
234457544,120,120,-0.465577,0.788965,5.83881,-2.9335
234557544,120,120,-0.595239,0.788222,4.56218,-3.08937
234657544,120,120,-0.766551,0.788715,3.28823,-3.16656
234757544,120,120,-0.929013,0.789572,2.42846,-3.24957
234857548,120,120,-1.35668,0.790183,0.738993,-3.39843
234957548,120,120,-1.60446,0.788073,-0.119587,-3.55135
235057556,120,120,-1.92303,0.787168,-1.38662,-3.77252
235157552,120,120,-2.06601,0.787712,-2.23828,-4.14413
235257556,120,120,-2.18526,0.788284,-3.0738,-4.35636
235357548,120,120,-2.30349,0.789595,-3.9194,-4.35595
235457552,120,120,-2.37241,0.789294,-4.34175,-4.20318
235557552,120,120,-2.5054,0.789266,-5.17906,-3.82551
235657552,120,120,-2.62118,0.790186,-6.02909,-3.4553
235757552,120,120,-2.71531,0.791946,-6.45046,-2.92933
235857560,120,120,-2.83898,0.791157,-7.71629,-2.40901
235957560,120,120,-2.90581,0.789762,-8.14168,-1.95609
236057556,120,120,-2.95939,0.789565,-8.55988,-1.57714
236157556,120,120,-2.93706,0.790745,-8.9761,-1.86196
236257568,120,120,-2.92434,0.790043,-9.83074,-2.17
236357556,120,120,-2.92118,0.79212,-10.6768,-2.39215
236457556,120,120,-2.92951,0.790512,-11.1,-2.39002
236557556,120,120,-2.94336,0.790393,-11.5225,-2.31446
236657560,120,120,-2.95622,0.791368,-12.3734,-2.32036
236757560,120,120,-2.9627,0.792813,-12.7936,-2.31342
236857560,120,120,-2.95814,0.79489,-13.2069,-2.45037
236957560,120,120,-2.94709,0.790633,-13.2141,-2.60314
237057560,120,120,-2.92952,0.791847,-12.3553,-2.6602
237157560,120,120,-2.90914,0.793075,-11.4938,-2.72102
237257564,120,120,-2.90273,0.794918,-11.4892,-2.79773
237357564,120,120,-2.91091,0.794049,-11.9079,-2.79672
237457568,120,120,-2.90758,0.79644,-12.3256,-2.93812
237557572,120,120,-2.89616,0.796107,-12.3305,-3.08857
237657568,120,120,-2.88751,0.799648,-12.7511,-3.31143
237757564,120,120,-2.87672,0.799912,-12.7525,-3.45907
237857568,120,120,-2.87127,0.799958,-12.7521,-3.5337
237957564,120,120,-2.86884,0.799683,-12.3163,-3.44514
238057568,120,120,-2.86896,0.803789,-12.3104,-3.44193
238157568,120,120,-2.8865,1.119,-12.2966,-3.20661
238257568,120,120,-2.91054,0.832844,-12.7282,-2.99429
238357568,120,120,-2.89373,0.798816,-12.742,-3.22454
238457568,120,120,-2.88507,0.796449,-13.1689,-3.4542
238557572,120,120,-2.87914,0.793815,-14.0313,-3.76946
238657572,120,120,-2.86717,0.794168,-14.4628,-4.0716
238757572,120,120,-2.8655,0.797376,-14.8813,-4.21632
238857572,120,120,-2.86849,0.793902,-15.2993,-4.28542
238957572,120,120,-2.85522,0.793112,-15.3008,-4.50556
239057572,120,120,-2.84323,0.794207,-14.8733,-4.57426
239157584,120,120,-2.8465,0.798844,-15.2891,-4.64738
239257580,120,120,-2.84642,0.798616,-15.2948,-4.6505
239357580,120,120,-2.82972,0.800446,-14.8702,-4.79403
239457576,120,120,-2.81634,0.795677,-14.8617,-5.01175
239557576,120,120,-2.80299,0.7919,-14.8598,-5.23313
239657576,120,120,-2.79366,0.788935,-14.8705,-5.39334
239757576,120,120,-2.78016,0.791109,-14.8791,-5.62483
239857580,120,120,-2.78105,0.798704,-15.2898,-5.76456
239957580,120,120,-2.77679,0.791778,-15.2944,-5.8408
240057580,120,120,-2.77368,0.788686,-16.1498,-6.22515
240157584,120,120,-2.76192,0.786701,-16.1521,-6.44516
240257580,120,120,-2.74798,0.785506,-15.2862,-6.34805
240357580,120,120,-2.76277,0.795182,-16.1126,-6.41359
240457584,120,120,-2.75537,-2.39939,-16.1075,-6.55
240557580,120,120,-2.75512,0.835927,-16.1134,-6.55723
240657584,120,120,-2.74154,0.80053,-15.7012,-6.63938
240757584,120,120,-2.74265,0.7944,-16.1301,-6.79959
240857588,120,120,-2.75164,0.793825,-16.5592,-6.80591
240957584,120,120,-2.75312,0.793578,-16.9779,-6.94846
241057584,120,120,-2.73532,0.795195,-16.1298,-6.93913
241157584,120,120,-2.71531,0.788769,-15.2836,-6.94066
241257592,120,120,-2.71928,0.776715,-15.2726,-6.86269
241357588,120,120,-2.70893,0.75795,-14.8474,-6.85729
241457588,120,120,-2.7047,0.792413,-14.8455,-6.93271
241557588,120,120,-2.69354,0.789861,-14.4252,-6.93362
241657588,120,120,-2.69043,0.78564,-13.9966,-6.78122
241757588,120,120,-2.69041,0.806473,-13.9929,-6.77968
241857588,120,120,-2.63226,-2.36197,-11.4594,-6.39979
241957588,120,120,-2.63081,-2.35804,-11.0168,-6.17369
242057592,120,120,-2.65704,-2.35317,-11.0025,-5.79184
242157588,120,120,-2.66266,-2.35035,-10.585,-5.49631
242257592,120,120,-2.65718,-2.3411,-10.163,-5.34803
242357592,120,120,-2.6627,-2.33183,-10.1636,-5.27696
242457592,120,120,-2.65114,-2.34028,-9.74329,-5.20261
242557592,120,120,-2.61247,-2.35377,-8.90219,-5.20546
242657592,120,120,-2.5844,-2.34764,-8.47683,-5.28141
242757592,120,120,-2.55473,-2.3478,-8.05139,-5.35431
242857596,120,120,-2.52941,-2.34242,-7.63027,-5.35773
242957596,120,120,-2.45984,0.761948,-6.79442,-5.51409
243057604,120,120,-2.41466,0.755886,-6.36656,-5.66251
243157596,120,120,-2.40787,-2.1047,-6.3594,-5.73386
243257596,120,120,-2.37369,0.697015,-5.94225,-5.73784
243357596,120,120,-2.32401,0.307098,-5.51654,-5.88362
243457600,120,120,-2.27192,0.688095,-5.09357,-6.03354
243557604,120,120,-2.22928,-2.0592,-4.66728,-6.03254
243657604,120,120,-2.17243,-2.30619,-4.24241,-6.1794
243757600,120,120,-2.17186,-2.31704,-4.23611,-6.17774
243857600,120,120,-2.17183,-2.31172,-4.23496,-6.17655
243957600,120,120,-2.124,-2.32769,-3.81364,-6.17571
244057600,120,120,-2.11843,-2.29613,-3.81302,-6.25239
244157604,120,120,-2.11319,-2.27373,-3.81343,-6.32729
244257604,120,120,-2.1133,0.367882,-3.81668,-6.33113
244357604,120,120,-2.06309,-2.01485,-3.39485,-6.32975
244457604,120,120,-2.06727,-2.29223,-3.38609,-6.25046
244557604,120,120,-2.01358,-2.32893,-2.96184,-6.24617
244657604,120,120,-2.00399,-2.33943,-2.95607,-6.39166
244757604,120,120,-1.94088,-2.3363,-2.53869,-6.54374
244857608,120,120,-1.88294,-2.33305,-2.11062,-6.54075
244957608,120,120,-1.88279,-2.32427,-2.11065,-6.54417
245057608,120,120,-1.87947,-2.32703,-2.11007,-6.61752
245157608,120,120,-1.81819,-2.32914,-1.6904,-6.69285
